image,severity,coverage,usable,glare_method,specular_frac_true,annulus_n_px,annulus_true,annulus_est,annulus_err,annulus_rel_err,interior_n_px,interior_true,interior_est,interior_err,interior_rel_err,extrapolation_penalty
0,0.0,full,True,beamstop_surface,,23848.0,0.026560719500663667,0.08404977207874659,0.05748905257808292,2.164438827669802,67260.0,0.01713323575742136,0.08227257946560311,0.06513934370818175,3.8019288726571263,1.6374900449873242
0,0.25,full,True,beamstop_surface,,16913.0,0.21286286358174983,0.12971442006457723,-0.0831484435171726,-0.3906197733041372,70575.0,0.16676995961736085,0.12093897649621325,-0.0458309831211476,-0.2748155796541703,-0.11580419364996691
0,0.5,partial,True,beamstop_surface,,21181.0,0.28410929311200167,0.21947884344938814,-0.06463044966261353,-0.22748446189380678,65924.0,0.20093728123394614,0.2019613844246407,0.0010241031906945697,0.005096631070180713,-0.22238783082362606
0,0.75,none,False,,,,,,,,,,,,,
0,1.0,partial,True,beamstop_constant,,11430.0,0.5952856051403339,0.45010865616311024,-0.14517694897722366,-0.24387780877550252,72831.0,0.615505559764669,0.4500900859842282,-0.1654154737804408,-0.26874732674012786,0.02486951796462533
1,0.0,full,True,beamstop_surface,,25722.0,0.037616995463196565,0.04763912014537689,0.010022124682180326,0.26642544304171495,67663.0,0.02442414291417319,0.046637334963482165,0.022213192049308973,0.9094768290280018,0.6430513859862867
1,0.25,partial,True,beamstop_surface,,23911.0,0.15705500221373386,0.16554990940645473,0.008494907192720863,0.054088740078206916,68732.0,0.10756273737707743,0.1454162421979534,0.037853504820875974,0.3519202443516735,0.2978315042734666
1,0.5,partial,True,beamstop_surface,,16271.0,0.44405388353963166,0.5787561204117163,0.13470223687208466,0.30334660244011247,73624.0,0.5344552350826315,0.5453924711942606,0.010937236111629112,0.020464269771701495,-0.28288233266841095
1,0.75,partial,True,beamstop_surface,,15138.0,0.48010985056570354,0.8402640525153998,0.3601542019496963,0.7501495783211571,68070.0,0.3679236389522448,0.7332660220531327,0.36534238310088796,0.9929842620096181,0.24283468368846095
1,1.0,partial,True,beamstop_surface,,7715.0,0.8023466345401418,1.5433580839472907,0.7410114494071489,0.92355525343713,87296.0,0.912929610249122,1.9076658741962473,0.9947362639471253,1.0896089389363544,0.1660536854992244
2,0.0,full,True,beamstop_surface,,23783.0,0.027427215416484817,0.041171695264825926,0.01374447984834111,0.5011256024218975,67169.0,0.018859306769966912,0.038014019883262105,0.019154713113295193,1.015663690449042,0.5145380880271444
2,0.25,full,True,beamstop_surface,,22422.0,0.1624598437288316,0.2523580514540531,0.0898982077252215,0.5533564828196824,69435.0,0.10505457323224134,0.21917736624639958,0.11412279301415824,1.0863191339787754,0.532962651159093
2,0.5,partial,True,beamstop_surface,,15570.0,0.35858098461915155,0.5245124589365739,0.1659314743174224,0.46274476738820386,73257.0,0.3273234890748254,0.4774051836792824,0.15008169460445703,0.45851183802500867,-0.0042329293631951925
