image,severity,certificate,coverage,worst_finding,limiting_factor,margin_db,prov_coverage,prov_tone_method,prov_psf_method,prov_glare_method,prov_px_per_mm_measured,prov_rose_k,prov_contrast_source,prov_include_anatomical,verdict_miliary_nodule,margin_db_miliary_nodule,floor_miliary_nodule,insuff_area_miliary_nodule,verdict_infiltrate,margin_db_infiltrate,floor_infiltrate,insuff_area_infiltrate,verdict_cavity_wall,margin_db_cavity_wall,floor_cavity_wall,insuff_area_cavity_wall,verdict_consolidation,margin_db_consolidation,floor_consolidation,insuff_area_consolidation,veil_fraction,psf_sigma
0,0.0,insufficient,full,miliary_nodule,sensor_noise,-25.907936586672694,full,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-25.907936586672694,0.34926858329246085,1.0,insufficient,-1.2572709937844802,0.07667565783722215,0.5248741298144209,insufficient,-12.232554488029717,0.16276507917939206,1.0,detectable,14.675128145373506,0.07348332583332036,0.19095915807841213,0.04656622132747965,0.9802683290363877
0,0.25,insufficient,full,miliary_nodule,sensor_noise,-21.933700517143237,full,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-21.933700517143237,0.2210282163976941,1.0,detectable,7.006120551628602,0.02961337685478664,0.36367871423580106,insufficient,-7.108097458490768,0.09022738741942095,1.0,detectable,23.153222035508815,0.0276875233362771,0.09134671376994448,0.09023651448054164,1.4690946203714332
0,0.5,insufficient,partial,miliary_nodule,sensor_noise,-23.046326519848357,partial,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-23.046326519848357,0.25123435072727063,1.0,detectable,5.832239467526463,0.03389861758239289,0.3443718975001118,insufficient,-7.834797830754489,0.09810099243862092,1.0,detectable,21.680833864516625,0.03280224123304953,0.08349358257680783,0.15765446255471985,2.3389108445472715
0,0.75,abstain,none,,no_fiducials,,none,prior,slanted_edge,none,False,5.0,DERIVED-SLAB-v1,False,,,,,,,,,,,,,,,,,0.0,2.920986482768228
0,1.0,insufficient,partial,miliary_nodule,sensor_noise,-24.011625922200896,partial,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-24.011625922200896,0.28076566035140355,1.0,marginal,0.08041040154624964,0.06573148454444307,0.49749635924751134,insufficient,-9.499880737932742,0.1188303965189323,1.0,detectable,15.707409078191306,0.06524913482234823,0.047678895605162884,0.24778340055881035,3.115795807785606
1,0.0,insufficient,full,miliary_nodule,sensor_noise,-26.648897146416335,full,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-26.648897146416335,0.3803711333607234,1.0,marginal,1.795392739213133,0.05395408403664752,0.46510370677382734,insufficient,-12.329166069772562,0.16458559160563188,1.0,detectable,18.198547816241184,0.048979891706445594,0.16703007586542445,0.03831048244405743,1.0805266769721615
1,0.25,insufficient,partial,miliary_nodule,sensor_noise,-21.73791322838889,partial,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-21.73791322838889,0.21610178526101761,1.0,detectable,8.008337191942305,0.026386215277813152,0.32393182440092255,insufficient,-6.680724858381042,0.08589536951444125,1.0,detectable,24.13742915563709,0.024721439386138376,0.06678785035768735,0.10382878663596182,1.6914917170869577
1,0.5,insufficient,full,miliary_nodule,sensor_noise,-25.113944718339397,full,two_point,slanted_edge,beamstop_surface,False,5.0,DERIVED-SLAB-v1,False,insufficient,-25.113944718339397,0.3187571456233613,1.0,marginal,1.862583324707829,0.05353832685405944,0.44948699853428153,insufficient,-10.165389506338656,0.12829300707116495,1.0,detectable,17.607089213670733,0.052431315067443036,0.04132964189421494,0.34887351953928086,2.317806443935808
1,0.75,insufficient,partial,miliary_nodule,sensor_noise,-25.100349658345003,partial,two_point,slanted_edge,beamstop_constant,False,5.0,DERIVED-SLAB-v1,False,insufficient,-25.100349658345003,0.3182586206505187,1.0,detectable,3.996495150265578,0.041876386885400144,0.3755911425033997,insufficient,-9.795698567467191,0.12294714202596377,1.0,detectable,19.806383777837286,0.040702962752019886,0.08252653798534576,0.40570200487840946,2.787307032175829
1,1.0,insufficient,partial,miliary_nodule,blur,-21.39916120198544,partial,two_point,slanted_edge,beamstop_constant,False,5.0,DERIVED-SLAB-v1,False,insufficient,-21.39916120198544,0.20783598945790957,1.0,marginal,0.5392695585441866,0.06234914223530536,0.4800285944062193,insufficient,-7.638092113573252,0.0959043077931728,1.0,detectable,16.139565093813186,0.06208217971929896,0.08018943794120276,0.6289390064529566,3.3423050811127637
