image,severity,coverage,marker_found,n_mtf_edges,psf_sigma_true,psf_sigma_est,psf_sigma_rel_err,psf_method,veil_fraction_true,veil_fraction_est,veil_fraction_err,glare_method,gamma_true,gamma_est,tone_method,density_abs_rmse,density_diff_rmse
0,0.0,full,True,4,0.9184808436607272,0.9750670624275342,0.06160849097437355,slanted_edge,0.03751414150600857,0.04790534525813256,0.01039120375212399,beamstop_surface,2.4905431378799094,2.2,two_point,0.273121497691363,0.23821932090942588
0,0.25,full,True,4,1.606259443944116,1.4809951682018634,-0.07798508280497353,slanted_edge,0.3887102802592207,0.09004230365081914,-0.2986679766084016,beamstop_surface,2.0481935004471645,2.2,two_point,0.3662982089483825,0.3660341119561432
0,0.5,partial,False,4,2.840868570764297,2.3689564549416833,-0.16611543408910756,slanted_edge,0.5098007028023769,0.1558544161886889,-0.353946286613688,beamstop_surface,2.0688936484365286,2.2,two_point,0.5192559860722532,0.5045913559562395
0,0.75,none,False,2,3.710196998310933,2.9758710732630176,-0.1979210067234212,slanted_edge,0.7266557362695432,0.0,-0.7266557362695432,none,2.56367239495259,2.2,prior,1.2144206784400753,1.0024298986726787
0,1.0,partial,False,4,4.858593518119068,3.1206392111779295,-0.3577072871932619,slanted_edge,1.6299953905861164,0.0987424333246861,-1.5312529572614304,beamstop_surface,1.8117650439722954,2.2,two_point,0.8202372884397907,0.6937966683402433
1,0.0,full,True,4,1.0786050898054818,1.083312934096542,0.004364752526718761,slanted_edge,0.05332641122940682,0.0356159951502495,-0.01771041607915732,beamstop_surface,1.8226922920908168,2.2,two_point,0.24435375444648086,0.2430726090533118
1,0.25,partial,False,4,1.8495552405359803,1.6926423414232743,-0.08483817929505821,slanted_edge,0.24574795511893954,0.10116882207141108,-0.14457913304752845,beamstop_surface,2.2688984518501862,2.2,two_point,0.36275476813424834,0.35618343475941905
1,0.5,partial,False,4,2.6552940524334345,2.319476558271718,-0.12647092470001872,slanted_edge,1.6304505652151016,0.0,-1.6304505652151016,beamstop_surface,2.4638431882224823,2.2,two_point,0.792537261380528,0.5877271857398212
1,0.75,partial,False,4,3.5349912036197697,2.749948465034826,-0.22207770638327856,slanted_edge,0.9580077412925563,0.40730800184477184,-0.5506997394477844,beamstop_constant,2.505045738190152,2.2,two_point,0.6648396526553487,0.6207914807286605
1,1.0,partial,False,4,4.795653290365929,3.2094673615377918,-0.33075492175688637,slanted_edge,1.6222762855486632,0.7593042490846764,-0.8629720364639868,beamstop_surface,2.5282046129728437,2.2,two_point,0.967284092088322,0.84980607286929
2,0.0,full,True,4,0.6972267744831501,0.7549578407291441,0.08280098865794373,slanted_edge,0.041091895936978394,0.021516929918221902,-0.019574966018756492,beamstop_surface,2.569938474499505,2.2,two_point,0.19590583613029408,0.16581437159717222
2,0.25,full,True,4,1.7832482840996853,1.7189978578659482,-0.036029994704958004,slanted_edge,0.23494223007982024,0.13442582775444506,-0.10051640232537518,beamstop_surface,2.3072559834779547,2.2,two_point,0.39043998823821463,0.3737458365690248
2,0.5,partial,False,4,2.713647860534367,2.3447483268455076,-0.13594230078777286,slanted_edge,0.803521329019031,0.3435193398422771,-0.46000198917675383,beamstop_surface,2.4508272513437084,2.2,two_point,0.6626901387585956,0.5642171662187272
2,0.75,partial,False,4,3.717116680536327,2.8413095849753467,-0.23561463651300124,slanted_edge,1.7893238095095758,0.39245105443137723,-1.3968727550781985,beamstop_surface,1.9802627535005322,2.2,two_point,0.8200177689551249,0.7209905760993331
2,1.0,none,False,3,4.540949334040828,3.1803725313390903,-0.29962386774551597,slanted_edge,1.5499595440665517,0.0,-1.5499595440665517,none,2.53107013413853,2.2,prior,1.3507120237315922,1.0423445508277198
3,0.0,full,True,4,0.9507842830309364,0.9223391761764494,-0.029917519002111478,slanted_edge,0.03739661472885665,0.010904120245116963,-0.026492494483739686,beamstop_surface,2.2666560375387808,2.2,two_point,0.20221699869931914,0.202216974130113
3,0.25,partial,False,4,1.836679466451178,1.5997348074266828,-0.12900708226586668,slanted_edge,0.3966622114307453,0.11346144407343708,-0.28320076735730826,beamstop_surface,2.2515302568964755,2.2,two_point,0.370304706481885,0.36524917139179597
3,0.5,partial,False,4,2.566521546534319,2.141502935159515,-0.16560102990318712,slanted_edge,0.5229820976110441,0.10361010017243336,-0.41937199743861076,beamstop_surface,2.2461980660970453,2.2,two_point,0.4410023223206729,0.43090400085389463
3,0.75,partial,False,4,3.7981914569247164,2.848143174174339,-0.25013175178894315,slanted_edge,0.7692708757647365,0.28379671252478494,-0.4854741632399516,beamstop_surface,1.9911549693530246,2.2,two_point,0.682569844411963,0.6568936746471236
3,1.0,partial,False,4,4.557496401611341,3.142191146443556,-0.31054445916126056,slanted_edge,0.7986360782752043,0.4417622819144232,-0.35687379636078115,beamstop_surface,2.2158664594673856,2.2,two_point,0.7872559411048135,0.7054165534284554
4,0.0,full,True,4,0.7428618863022349,0.7914452569165619,0.06540027360423858,slanted_edge,0.05363489327412051,0.01264309048342448,-0.04099180279069603,beamstop_surface,1.8693450584916342,2.2,two_point,0.21979203441798095,0.1988871494656323
4,0.25,full,True,4,1.7087624286665721,1.5762104641482202,-0.07757190952623443,slanted_edge,0.4189513761829807,0.2324763253397853,-0.18647505084319538,beamstop_surface,2.4225985808815427,2.2,two_point,0.500192618265378,0.41166046953372776
4,0.5,none,False,3,2.6306472135376415,2.272333545875768,-0.13620741915447515,slanted_edge,1.0073313465320661,0.0,-1.0073313465320661,none,2.2160202057637184,2.2,prior,1.1489395701303255,0.8897736130301083
4,0.75,partial,False,4,3.6107795452474534,2.7287348149034396,-0.24428097015919192,slanted_edge,1.3707985514771681,0.2986990680928792,-1.072099483384289,beamstop_surface,2.260577672975242,2.2,two_point,0.6600421022083692,0.566698808321492
4,1.0,none,False,3,4.491659474293548,2.9656963039673925,-0.3397326041877118,slanted_edge,1.090545907751809,0.0,-1.090545907751809,none,1.9534537185082037,2.2,prior,1.0463511012405438,0.9513614480787529
5,0.0,full,True,4,1.0106133030389612,1.0100705338403984,-0.000537069121226442,slanted_edge,0.03758869992115431,0.025818345971941537,-0.011770353949212772,beamstop_surface,2.288638751137447,2.2,two_point,0.22353942706069824,0.22050069903108982
5,0.25,partial,False,4,1.940578435287591,1.7456184778450714,-0.10046486856565878,slanted_edge,0.32347388160768203,0.10008618978533416,-0.22338769182234786,beamstop_surface,2.321879172551217,2.2,two_point,0.4934717988983277,0.4579338754040038
5,0.5,none,False,3,2.739430857979232,2.3550582942969105,-0.14031110241849937,slanted_edge,0.4852840596907406,0.0,-0.4852840596907406,none,2.4645051530174076,2.2,prior,1.1965664578808621,0.9384608852837435
5,0.75,none,False,1,3.513751153368536,2.6116766565344567,-0.25672691589707075,slanted_edge,1.9530607560278366,0.0,-1.9530607560278366,none,2.125290276027078,2.2,prior,1.0924593229177972,0.9324511771781231
5,1.0,partial,False,4,4.633697074203032,3.1666547591731304,-0.31660298278825744,slanted_edge,1.4091850845006726,0.631185346621519,-0.7779997378791536,beamstop_surface,2.099685577387886,2.2,two_point,0.7520774194800399,0.7137130897764027
6,0.0,full,True,4,0.7779531097586453,0.8123729514389059,0.0442441083511307,slanted_edge,0.0481454408261282,0.06224106786208703,0.014095627035958833,beamstop_surface,2.0584429544846543,2.2,two_point,0.1512007486554715,0.15119754062996038
6,0.25,partial,False,4,1.9036888941387105,1.7036184179209066,-0.10509620391956012,slanted_edge,0.3051441323652771,0.043292982299324045,-0.26185115006595305,beamstop_surface,1.8052788190245639,2.2,two_point,0.38068533069611205,0.37458845890303155
6,0.5,partial,False,4,2.5307528798045302,2.128093642844593,-0.15910650153682246,slanted_edge,0.709124118179135,0.28028701237758236,-0.42883710580155265,beamstop_surface,2.0845096691054286,2.2,two_point,0.5814197397170198,0.5653043191723665
6,0.75,partial,False,4,3.710492679996111,2.8352218930588635,-0.23589071921795698,slanted_edge,1.642102522111094,0.4808354684169448,-1.1612670536941492,beamstop_constant,2.4316357175667056,2.2,two_point,0.6755135366181203,0.5871004019128337
6,1.0,partial,False,4,4.591756470338829,2.9921343674362975,-0.348368236258944,slanted_edge,1.3617180758110967,0.2819501195207079,-1.0797679562903888,beamstop_surface,2.092864246936527,2.2,two_point,0.934468802067983,0.7841845195484886
7,0.0,full,True,4,0.7471818787619399,0.7256284674423756,-0.02884627147981379,slanted_edge,0.04745724274817474,0.0014917727193997795,-0.04596547002877496,beamstop_surface,1.9193681168394405,2.2,two_point,0.2612813765782911,0.20306570847901592
7,0.25,partial,False,4,1.9835762504517125,1.7905213690004862,-0.09732667519449409,slanted_edge,0.2898356177825294,0.11484792622732672,-0.17498769155520272,beamstop_surface,2.11878275422793,2.2,two_point,0.41114070478272313,0.3970476297173987
7,0.5,partial,False,4,2.8008946163262096,2.325419545708295,-0.16975828645833554,slanted_edge,0.7573719607522628,0.2620900267115085,-0.49528193404075427,beamstop_surface,2.016965346209573,2.2,two_point,0.5675069836219692,0.524985215521983
7,0.75,partial,False,4,3.8828211424874612,2.904295980510326,-0.25201396769727596,slanted_edge,1.7188622548818677,0.48195915621048036,-1.2369030986713874,beamstop_constant,2.252603784668045,2.2,two_point,0.8199204067506823,0.6730930005353057
7,1.0,partial,False,4,4.623237839185093,2.9467520889456065,-0.3626215670823003,slanted_edge,0.9295447480101213,0.24349732992314238,-0.6860474180869789,beamstop_constant,2.057968606050538,2.2,two_point,0.7469360995731291,0.6691756554942258
