image,severity,coverage,marker_iou,marker_confidence,corner_err_px,n_edges,n_mtf_edges,beamstop_source
0,0.0,full,0.6470588235294118,0.7830056832239422,0.19838895136745843,4,4,collimated_rim
0,0.25,full,0.17391304347826086,0.7387081582597003,0.4272322558103454,4,4,collimated_rim
0,0.5,partial,0.0,0.3928939795815387,1.2250932377113064,4,4,collimated_rim
0,0.75,none,0.0,0.24837882213083126,,2,2,none
0,1.0,partial,0.0,0.336473841717734,2.6269329025271517,4,4,collimated_rim
1,0.0,full,0.5538461538461539,0.7723721285212496,0.0459412099120121,4,4,collimated_rim
1,0.25,partial,0.0,0.25478480652668506,0.6495848312725827,4,4,collimated_rim
1,0.5,partial,0.0,0.339767685023899,1.0204400198230434,4,4,collimated_rim
1,0.75,partial,,0.0,2.2057085096476214,4,4,collimated_rim
1,1.0,partial,0.0,0.4370692566137043,3.5295882275201422,4,4,collimated_rim
2,0.0,full,0.7941176470588235,0.8244414287283796,0.04102081528949193,4,4,collimated_rim
2,0.25,full,0.14492753623188406,0.9632083082533903,0.8184966636809355,4,4,collimated_rim
2,0.5,partial,0.0,0.37401762784298875,1.7855666106455357,4,4,collimated_rim
2,0.75,partial,,0.0,1.8187864198936157,4,4,collimated_rim
2,1.0,none,0.0,0.5880648399970766,,3,3,none
3,0.0,full,0.6086956521739131,0.7965367339454859,0.186253395398523,4,4,collimated_rim
3,0.25,partial,0.0,0.43638509682002025,0.7583782892670468,4,4,collimated_rim
3,0.5,partial,0.0,0.27379569062860826,0.9830779657441947,4,4,collimated_rim
3,0.75,partial,0.0,0.23662760431245325,1.6917842537538208,4,4,collimated_rim
3,1.0,partial,,0.0,2.8529146267478116,4,4,collimated_rim
4,0.0,full,0.7101449275362319,0.8213125763980059,0.17063668034364993,4,4,collimated_rim
4,0.25,full,0.25757575757575757,0.8699768285623606,0.9559177045832384,4,4,collimated_rim
4,0.5,none,0.0,0.5033309788749482,,3,3,none
4,0.75,partial,0.0,0.40069347605761974,1.926808447691262,4,4,collimated_rim
4,1.0,none,0.0,0.32928274210619457,,3,3,none
5,0.0,full,0.7391304347826086,0.8352380885334766,0.21769649462545657,4,4,collimated_rim
5,0.25,partial,0.0,0.4505014316290087,0.9710244709074902,4,4,collimated_rim
5,0.5,none,0.0,0.4098852189142997,,3,3,none
5,0.75,none,0.0,0.3487955592133831,,3,1,none
5,1.0,partial,0.0,0.3305317929752875,2.580812265892904,4,4,collimated_rim
6,0.0,full,0.6376811594202898,0.7505099762762778,0.1364160741667732,4,4,collimated_rim
6,0.25,partial,,0.0,0.46198385442361467,4,4,collimated_rim
6,0.5,partial,0.0,0.28994977495450897,1.128641174322069,4,4,collimated_rim
6,0.75,partial,,0.0,2.0114837395674985,4,4,collimated_rim
6,1.0,partial,0.0,0.4798091752847541,3.92747103535884,4,4,collimated_rim
7,0.0,full,0.671875,0.7746300867307263,0.21135263472045043,4,4,collimated_rim
7,0.25,partial,0.0,0.2609073395663731,0.9261478036768743,4,4,collimated_rim
7,0.5,partial,0.0,0.38843556066992424,1.4210478731782497,4,4,collimated_rim
7,0.75,partial,,0.0,2.1830569527784176,4,4,collimated_rim
7,1.0,partial,0.0,0.42108077216864953,2.8616839280846507,4,4,collimated_rim
