image,severity,certificate,coverage,worst_finding,limiting_factor,margin_db,prov_coverage,prov_tone_method,prov_psf_method,prov_glare_method,prov_px_per_mm_measured,prov_rose_k,prov_contrast_source,prov_include_anatomical,verdict_miliary_nodule,margin_db_miliary_nodule,floor_miliary_nodule,insuff_area_miliary_nodule,verdict_infiltrate,margin_db_infiltrate,floor_infiltrate,insuff_area_infiltrate,verdict_cavity_wall,margin_db_cavity_wall,floor_cavity_wall,insuff_area_cavity_wall,verdict_consolidation,margin_db_consolidation,floor_consolidation,insuff_area_consolidation,veil_fraction,psf_sigma
0,0.0,insufficient,full,miliary_nodule,sensor_noise,-14.242368367775251,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-14.242368367775251,0.1546107450946143,1.0,detectable,15.283901676452118,0.015489857612736321,0.18268403235986,detectable,12.271043377073116,0.053563692968949264,0.10807657735192304,detectable,29.571270869794684,0.0116279860173723,0.0042649224472622255,0.01994003600676895,0.9416319536567728
0,0.25,abstain,none,,no_fiducials,,none,prior,slanted_edge,none,False,5.0,NOMINAL,False,,,,,,,,,,,,,,,,,0.0,1.570647977106925
0,0.5,insufficient,partial,miliary_nodule,sensor_noise,-18.60830278331159,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-18.60830278331159,0.25558560728741897,1.0,detectable,16.154500914869416,0.014012559306141988,0.1262906527177621,detectable,9.706065681351925,0.07196467969620116,0.11651125767568797,detectable,30.54890996789398,0.010390167430046355,0.0015692517625653854,0.10819875148729588,2.1048092787717847
0,0.75,insufficient,partial,miliary_nodule,sensor_noise,-22.49589242950801,partial,two_point,slanted_edge,beamstop_constant,False,5.0,NOMINAL,False,insufficient,-22.49589242950801,0.39986728707809477,1.0,marginal,0.1878833288501651,0.08807412616745958,0.4976999330496944,detectable,4.12510947770642,0.1368255513792645,0.3359393559812539,detectable,12.059665306420246,0.0873141798574284,0.13178411765976286,0.3612854140023095,2.9058094552181544
0,1.0,insufficient,partial,miliary_nodule,blur,-17.2791993900626,partial,two_point,slanted_edge,beamstop_constant,False,5.0,NOMINAL,False,insufficient,-17.2791993900626,0.21932150845476808,1.0,marginal,2.729322887015826,0.06573192712499101,0.40486487626843315,detectable,8.124363406222162,0.0863385022525791,0.17835066770743233,detectable,14.563783278379969,0.0654453629275688,0.07944980063711736,0.4479900521098084,3.2129480803351473
1,0.0,insufficient,full,miliary_nodule,sensor_noise,-11.109809822050217,full,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-11.109809822050217,0.10779825875298588,1.0,detectable,19.696075749343837,0.00932048950938302,0.013588047589864965,detectable,14.942927431789832,0.039380054172536816,0.0,detectable,37.78596836501657,0.004516163184609131,0.0,0.003750289963706671,0.7793824501308042
1,0.25,insufficient,partial,miliary_nodule,sensor_noise,-17.980560609190416,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-17.980560609190416,0.23776574464882888,1.0,detectable,10.565149766243353,0.026667666858074562,0.2803362976366485,detectable,9.521334516250292,0.07351161347693423,0.19968223845356048,detectable,23.13990949301262,0.024382182054938965,0.08506741399474811,0.10619069316147671,1.5436191633832657
1,0.5,insufficient,partial,miliary_nodule,sensor_noise,-20.042284036081895,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-20.042284036081895,0.30146399944555613,1.0,detectable,5.729007811737167,0.046536328753531794,0.3482216411762599,detectable,7.442707175210459,0.09338719307244372,0.22035173179555143,detectable,17.734910113918158,0.04542788719147678,0.05075396683262295,0.2877365067816571,2.4200133180998082
1,0.75,insufficient,partial,miliary_nodule,sensor_noise,-17.833347572353247,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-17.833347572353247,0.23376992275546554,1.0,detectable,9.94567126397955,0.02863907232604131,0.21617912420260757,detectable,10.138715941194182,0.06846788046211091,0.1519810913157293,detectable,22.047699094581933,0.027649233083000265,0.04470480595725214,0.34686324775952876,2.6058304716669753
1,1.0,insufficient,partial,miliary_nodule,sensor_noise,-20.816204525000988,partial,two_point,slanted_edge,beamstop_surface,False,5.0,NOMINAL,False,insufficient,-20.816204525000988,0.3295577134593177,1.0,marginal,1.1574185225859586,0.07877194759593883,0.4593152624658643,detectable,5.544960549991353,0.11619157891374282,0.26979872559927176,detectable,13.01691614957458,0.07820278809819224,0.1327247901284515,0.3943592352411396,3.0544056298109816
