image,severity,coverage,marker_found,n_mtf_edges,psf_sigma_true,psf_sigma_est,psf_sigma_rel_err,psf_method,veil_fraction_true,veil_fraction_est,veil_fraction_err,glare_method,gamma_true,gamma_est,tone_method,density_abs_rmse,density_diff_rmse
0,0.0,full,True,4,0.8945515632243146,0.9395566143157877,0.050310181035576385,slanted_edge,0.04770592776967945,0.019497707414643933,-0.028208220355035514,beamstop_surface,1.9072333577977318,2.2,two_point,0.22068762987229168,0.21134646321924183
0,0.25,none,False,3,1.680585535653034,1.6017728005913054,-0.04689599749000803,slanted_edge,0.7274602328923433,0.0,-0.7274602328923433,none,2.5338381638327223,2.2,prior,1.059655362936872,0.778852022064178
0,0.5,partial,False,4,2.5538643365954505,2.083200323895007,-0.184294837417983,slanted_edge,0.6256543424700108,0.10397787191910136,-0.5216764705509095,beamstop_surface,1.9530591408457603,2.2,two_point,0.4862706722815268,0.4828987166659113
0,0.75,partial,False,3,3.931151715197462,2.948404549803832,-0.24998963067093602,slanted_edge,0.990609365399667,0.3639476502314498,-0.6266617151682172,beamstop_constant,2.1381735255563497,2.2,two_point,0.7928780879096178,0.6868497437352437
0,1.0,partial,False,4,4.854240784913942,3.134010752185618,-0.3543767416883134,slanted_edge,1.275818025564561,0.6846513752065111,-0.5911666503580499,beamstop_surface,2.1170049297735893,2.2,two_point,0.7828799977332735,0.7536982159693248
1,0.0,full,True,4,0.8105944071144777,0.7795934896635415,-0.038244672278571604,slanted_edge,0.04277827039064705,0.0034984779671564485,-0.0392797924234906,beamstop_surface,1.8585520579127728,2.2,two_point,0.2770618440372345,0.20917623589772896
1,0.25,partial,False,4,1.7537848451498212,1.55280576582232,-0.11459734065060423,slanted_edge,0.3442913221740642,0.10598164040795885,-0.23830968176610537,beamstop_surface,2.0504382870559503,2.2,two_point,0.3423130035123102,0.3379021131892822
1,0.5,partial,False,4,2.8877802423331245,2.3931352100259695,-0.17128901467499355,slanted_edge,0.800063204430213,0.2914778373958018,-0.5085853670344112,beamstop_surface,1.91923841869657,2.2,two_point,0.5808215809908217,0.5420037252360772
1,0.75,partial,False,4,3.6882876427146027,2.689050018997389,-0.2709218262005641,slanted_edge,0.8588834293050559,0.27882835108091625,-0.5800550782241396,beamstop_constant,1.9609625605797316,2.2,two_point,0.698778033288805,0.6650075909327942
1,1.0,partial,False,4,4.633444801370489,3.0478360002453466,-0.3422094940369524,slanted_edge,0.9958992145626355,0.41897076138182693,-0.5769284531808085,beamstop_surface,2.0097174369519917,2.2,two_point,0.7614004256705877,0.6783358137761388
2,0.0,full,True,4,1.0058358319144685,0.9958092839115658,-0.009968374246340542,slanted_edge,0.038124757635650514,0.01812795278565515,-0.019996804849995362,beamstop_surface,2.281458758206852,2.2,two_point,0.23221369698250763,0.23221120786080446
2,0.25,full,True,4,1.530008806029257,1.5372045177407723,0.004703052481240257,slanted_edge,0.34108837312877405,0.17546115775806276,-0.1656272153707113,beamstop_surface,2.373897380884988,2.2,two_point,0.3612547542850232,0.3404680338663396
2,0.5,none,False,3,2.396267736972603,2.0507791935796127,-0.1441777719836405,slanted_edge,0.8323599954576544,0.0,-0.8323599954576544,none,2.008291377878487,2.2,prior,1.0169608910940557,0.8626227987752657
