image,severity,coverage,marker_iou,marker_confidence,corner_err_px,n_edges,n_mtf_edges,beamstop_source
0,0.0,full,0.5797101449275363,0.7787058329876104,0.049609047388755226,4,4,collimated_rim
0,0.25,none,0.0,0.3923299288209691,,3,3,none
0,0.5,partial,0.0,0.4106924764160222,1.1372565256255935,4,4,collimated_rim
0,0.75,partial,,0.0,3.479363213420698,4,3,collimated_rim
0,1.0,partial,0.0,0.4946798195656984,2.8159746224523197,4,4,collimated_rim
1,0.0,full,0.6086956521739131,0.7324120946851439,0.24795544028871214,4,4,collimated_rim
1,0.25,partial,0.0,0.3892923913251972,0.520952957315707,4,4,collimated_rim
1,0.5,partial,0.0,0.4568417329736657,0.8626021949119341,4,4,collimated_rim
1,0.75,partial,,0.0,2.2323853557435887,4,4,collimated_rim
1,1.0,partial,,0.0,3.3456272920743393,4,4,collimated_rim
2,0.0,full,0.5970149253731343,0.8097916282981855,0.23857495352533664,4,4,collimated_rim
2,0.25,full,0.30434782608695654,0.6215824953312213,0.5312927197872711,4,4,collimated_rim
2,0.5,none,0.0,0.43329442775419585,,3,3,none
2,0.75,partial,0.0,0.31484388990922524,1.7070555876186395,4,4,collimated_rim
2,1.0,full,0.0,0.6496848612806718,6.853565575018133,4,2,collimated_rim
3,0.0,full,0.5942028985507246,0.8183802273207463,0.16355763836150045,4,4,collimated_rim
3,0.25,partial,0.0,0.4352147408789627,0.19195372537136432,4,4,collimated_rim
3,0.5,full,0.208955223880597,0.9273815327684749,1.955482854388349,4,4,collimated_rim
3,0.75,partial,0.0,0.37355564466572094,2.1715512448211918,4,4,collimated_rim
3,1.0,none,0.0,0.340603258551201,,3,3,none
4,0.0,full,0.6470588235294118,0.7830056832239422,0.14370602650026032,4,4,collimated_rim
4,0.25,partial,0.0,0.2450239932521576,0.35989136880600364,4,4,collimated_rim
4,0.5,partial,0.0,0.3426481344269418,1.436940257821845,4,4,collimated_rim
4,0.75,partial,,0.0,2.2986000733614658,4,4,collimated_rim
4,1.0,none,0.0,0.004181424248835463,,3,2,none
5,0.0,full,0.6029411764705882,0.8183802273207463,0.37228062968392095,4,4,collimated_rim
5,0.25,partial,,0.0,0.4339017337786664,4,4,collimated_rim
5,0.5,none,0.0,0.18091954432150406,,3,3,none
5,0.75,none,0.0,0.2972729906476337,,3,3,none
5,1.0,partial,0.0,0.3916927563606667,3.0519758842707367,4,4,collimated_rim
6,0.0,full,0.6521739130434783,0.7600243717309381,0.19533472083772374,4,4,collimated_rim
6,0.25,partial,0.0,0.28739329960907767,0.569380290145433,4,4,collimated_rim
6,0.5,none,0.0,0.4249671616444926,,3,3,none
6,0.75,partial,,0.0,2.1903845098598365,4,4,collimated_rim
6,1.0,full,0.16901408450704225,0.7284259846273465,3.654166658627673,4,4,collimated_rim
7,0.0,full,0.6956521739130435,0.7832166289742711,0.33790497832605004,4,4,collimated_rim
7,0.25,full,0.5294117647058824,0.8167014197248651,0.8983270364776945,4,4,collimated_rim
7,0.5,partial,0.0,0.41607903049672545,1.6113941557234102,4,4,collimated_rim
7,0.75,partial,,0.0,2.8976190447436787,4,4,collimated_rim
7,1.0,partial,0.0,0.5478859390117442,2.857668596130026,4,3,collimated_rim
